,literal,grade,stroke_counts,freq,jlpt,ja_ons,ja_kuns,meanings,example,example_translation
137,続,4.0,13,141,2.0,"['ゾク', 'ショク', 'コウ', 'キョウ']","['つづ.く', 'つづ.ける', 'つぐ.ない']","['continue', 'series', 'sequel']",このトーナメントに優勝するには、７回続けて勝たなくてはいけません。,We have to win seven times in a row to win this tournament.
138,進,3.0,11,142,3.0,['シン'],"['すす.む', 'すす.める']","['advance', 'proceed', 'progress', 'promote']",栗鼠が激しい風に逆らって進すんでいた。,The squirrel advanced against the strong wind.
139,正,1.0,5,143,3.0,"['セイ', 'ショウ']","['ただ.しい', 'ただ.す', 'まさ', 'まさ.に']","['correct', 'justice', 'righteous', '10**40']",正はやさしい声をしている。,Tadashi has a soft voice.
140,安,3.0,6,144,4.0,['アン'],"['やす.い', 'やす.まる', 'やす', 'やす.らか']","['relax', 'cheap', 'low', 'quiet', 'rested', 'contented', 'peaceful']",彼はあんな安月給で暮らしていけるのかしら。,I wonder if he can live on such a small salary.
141,設,5.0,11,145,2.0,['セツ'],['もう.ける'],"['establishment', 'provision', 'prepare']",彼は持っていた金を全部慈善施設に寄付した。,He gave away all his money to charity.
142,保,5.0,9,146,2.0,"['ホ', 'ホウ']",['たも.つ'],"['protect', 'guarantee', 'keep', 'preserve', 'sustain', 'support']",彼の見方はあまりに保守的で人々は受け入れなかった。,His views were too conservative for people to accept.
143,改,4.0,7,147,2.0,['カイ'],"['あらた.める', 'あらた.まる']","['reformation', 'change', 'modify', 'mend', 'renew', 'examine', 'inspect', 'search']",政府が今国会への改正案提出の見送り方針を固めたことを歓迎する一方、小泉首相が提出断念を明言していない点を警戒する声も上がった。,"While welcoming the firming up of the present government policy to abandon the proposal of the reform bill to the Diet, at the same time some are worried that Prime Minister Koizumi won't clearly state the bill's withdrawal."
144,数,2.0,13,148,2.0,"['スウ', 'ス', 'サク', 'ソク', 'シュ']","['かず', 'かぞ.える', 'しばしば', 'せ.める', 'わずらわ.しい']","['number', 'strength', 'fate', 'law', 'figures']",私立大学の数が増えた。,The number of private colleges has increased.
145,記,2.0,10,149,2.0,['キ'],['しる.す'],"['scribe', 'account', 'narrative']",「疫病流行記」,A Journal of the Plague Year
146,院,3.0,10,150,3.0,['イン'],[],"['Inst.', 'institution', 'temple', 'mansion', 'school']",彼はその病院に多額の寄付をした。,He contributed a lot of money to the hospital.
147,女,1.0,3,151,4.0,"['ジョ', 'ニョ', 'ニョウ']","['おんな', 'め']","['woman', 'female']",「女の一生」,A Woman's Life
148,初,4.0,7,152,2.0,['ショ'],"['はじ.め', 'はじ.めて', 'はつ', 'はつ-', 'うい-', '-そ.める', '-ぞ.め']","['first time', 'beginning']",その小説の初刷は１００００部だった。,"The novel had an initial print-run of 10,000."
149,北,2.0,5,153,4.0,['ホク'],['きた'],['north'],古い教会はその町の北にある。,The old church stands north of the town.
150,午,2.0,4,154,4.0,['ゴ'],['うま'],"['noon', 'sign of the horse', '11AM-1PM', 'seventh sign of Chinese zodiac']",ほとんど正午近かった。,It was nearly noon.
151,指,3.0,9,155,2.0,['シ'],"['ゆび', 'さ.す', '-さ.し']","['finger', 'point to', 'indicate', 'put into', 'play (chess)', 'measure (ruler)']",指を切らないでよ。,Don't cut your finger.
152,権,6.0,15,156,2.0,"['ケン', 'ゴン']","['おもり', 'かり', 'はか.る']","['authority', 'power', 'rights']",旦那も子供の引き取り権を望んでいた。,Her husband also wanted custody of the children.
153,心,2.0,4,157,3.0,['シン'],"['こころ', '-ごころ']","['heart', 'mind', 'spirit', 'heart radical (no. 61)']",心が動くね。,That sounds very tempting.
154,界,3.0,9,158,3.0,['カイ'],[],"['world', 'boundary']",彼女には法曹界に向いたところがありますか。,Does she lean towards the legal profession?
155,支,5.0,4,159,2.0,['シ'],"['ささ.える', 'つか.える', 'か.う']","['branch', 'support', 'sustain', 'branch radical (no. 65)']",彼は旅行の支度をしている。,He is making preparations for a trip.
156,第,3.0,11,160,2.0,"['ダイ', 'テイ']",[],"['No.', 'residence']",第一に君は遅刻してはいけません。,"To begin with, you must not be late for school."
157,産,4.0,11,161,3.0,['サン'],"['う.む', 'う.まれる', 'うぶ-', 'む.す']","['products', 'bear', 'give birth', 'yield', 'childbirth', 'native', 'property']",肥沃な土壌は豊かな作物を産する。,Rich soil yields abundant crops.
158,結,4.0,12,162,2.0,"['ケツ', 'ケチ']","['むす.ぶ', 'ゆ.う', 'ゆ.わえる']","['tie', 'bind', 'contract', 'join', 'organize', 'do up hair', 'fasten']",結果次第では、両社に対して2月以来の行政指導が行われる。,Depending on the results both companies may be put under administrative guidance from February.
159,百,1.0,6,163,4.0,"['ヒャク', 'ビャク']",['もも'],['hundred'],千に百を加えると千百になる。,"If you add one hundred to one thousand, you get eleven hundred."
160,派,6.0,9,164,1.0,['ハ'],[],"['faction', 'group', 'party', 'clique', 'sect', 'school']",反体制派はすべて旧体制のもとで粛清されました。,All political dissidents were purged under the former regime.
161,点,2.0,9,165,2.0,['テン'],"['つ.ける', 'つ.く', 'た.てる', 'さ.す', 'とぼ.す', 'とも.す', 'ぼち']","['spot', 'point', 'mark', 'speck', 'decimal point']",私はこの点を特に強調したい。,I want to emphasize this point in particular.
162,教,2.0,11,166,3.0,['キョウ'],"['おし.える', 'おそ.わる']","['teach', 'faith', 'doctrine']",彼は仏教からキリスト教へ改宗した。,He was converted from Buddhism to Christianity.
163,報,5.0,12,167,2.0,['ホウ'],['むく.いる'],"['report', 'news', 'reward', 'retribution']",国民全体は国王死去の報を聞いて悲しんだ。,The whole nation was sad to hear that their king died.
164,済,6.0,11,168,2.0,"['サイ', 'セイ']","['す.む', '-ず.み', '-ずみ', 'す.まない', 'す.ます', '-す.ます', 'すく.う', 'な.す', 'わたし', 'わた.る']","['settle (debt', 'etc.)', 'relieve (burden)', 'finish', 'come to an end', 'excusable', 'need not']",私は１日たりともこの辞書なしでは済まされない。,I cannot do without this dictionary even for a single day.
165,書,2.0,10,169,4.0,['ショ'],"['か.く', '-が.き', '-がき']",['write'],請求書を見せて頂けますか。,May I see the bill please?
166,府,4.0,8,170,2.0,['フ'],[],"['borough', 'urban prefecture', 'govt office', 'representative body', 'storehouse']",このテーマに関するほとんどの研究では、立法府の介入が悪影響をもたらしたということが示されている。,It has been shown in most studies on this subject that intervention of the legislature had adverse effects.
167,活,2.0,9,171,2.0,['カツ'],"['い.きる', 'い.かす', 'い.ける']","['lively', 'resuscitation', 'being helped', 'living']",死中に活を求める。,Your gift was like discovery of an oasis in the midst of a desert.
168,原,2.0,10,172,2.0,['ゲン'],['はら'],"['meadow', 'original', 'primitive', 'field', 'plain', 'prairie', 'tundra', 'wilderness']",最高裁は原判決をくつがえしました。,The Supreme Court overturned a previous decision.
169,先,1.0,6,173,4.0,['セン'],"['さき', 'ま.ず']","['before', 'ahead', 'previous', 'future', 'precedence']",学校は２キロ先にある。,The school is two kilometers ahead.
170,共,4.0,6,174,2.0,['キョウ'],"['とも', 'とも.に', '-ども']","['together', 'both', 'neither', 'all', 'and', 'alike', 'with']",あの夫婦は共かせぎしている。だが亭主の給料のほうが女房の給料よりも低い。亭主が女房の尻にしかれるのも当然だ。,"He and his wife both work and his salary is lower than hers, so no wonder he is a hen-pecked husband."
171,得,5.0,11,175,2.0,['トク'],"['え.る', 'う.る']","['gain', 'get', 'find', 'earn', 'acquire', 'can', 'may', 'able to', 'profit', 'advantage', 'benefit']",どんな風も誰かの得になる。,It's an ill wind that blows no good.
172,解,5.0,13,176,2.0,"['カイ', 'ゲ']","['と.く', 'と.かす', 'と.ける', 'ほど.く', 'ほど.ける', 'わか.る', 'さと.る']","['unravel', 'notes', 'key', 'explanation', 'understanding', 'untie', 'undo', 'solve', 'answer', 'cancel', 'absolve', 'explain', 'minute']",彼が何をするか解からない。,There is no telling what he will do.
173,名,1.0,6,177,4.0,"['メイ', 'ミョウ']","['な', '-な']","['name', 'noted', 'distinguished', 'reputation']",彼女はエイミーの名で通っている。,She goes by the name of Amy.
174,交,2.0,6,178,2.0,['コウ'],"['まじ.わる', 'まじ.える', 'ま.じる', 'まじ.る', 'ま.ざる', 'ま.ぜる', '-か.う', 'か.わす', 'かわ.す', 'こもごも']","['mingle', 'mixing', 'association', 'coming & going']",彼は外交官として長年人生を送ってきた。,He has spent most of his working life as a diplomat.
175,資,5.0,13,179,2.0,['シ'],[],"['assets', 'resources', 'capital', 'funds', 'data', 'be conducive to', 'contribute to']",彼は支配人の資格で銀行に入った。,He started at the bank in the post of manager.
176,予,3.0,4,180,2.0,"['ヨ', 'シャ']",['あらかじ.め'],"['beforehand', 'previous', 'myself', 'I']",私は１ヶ月早くホテルの予約を取った。,I made hotel reservations one month in advance.
177,川,1.0,3,181,4.0,['セン'],['かわ'],"['stream', 'river', 'river or three-stroke river radical (no. 47)']",少年たちはいかだで川をくだった。,The boy went down the river on a raft.
178,向,3.0,6,182,2.0,['コウ'],"['む.く', 'む.い', '-む.き', 'む.ける', '-む.け', 'む.かう', 'む.かい', 'む.こう', 'む.こう-', 'むこ', 'むか.い']","['yonder', 'facing', 'beyond', 'confront', 'defy', 'tend toward', 'approach']",彼は自分の思い通りにならないと腹を立てる傾向がある。,He tends to get angry when he does not have his own way.
179,際,5.0,14,183,2.0,['サイ'],"['きわ', '-ぎわ']","['occasion', 'side', 'edge', 'verge', 'dangerous', 'adventurous', 'indecent', 'time', 'when']",火事の際は１１９番に電話してください。,"In the case of fire, dial 119."
180,査,5.0,9,184,2.0,['サ'],[],['investigate'],各種の調査では、民間セクターが政策決定にほとんど影響力をもたないことが示されている。,It has been demonstrated in various researches that the private sector has little influence over policy making.
181,勝,3.0,12,185,2.0,['ショウ'],"['か.つ', '-が.ち', 'まさ.る', 'すぐ.れる', 'かつ']","['victory', 'win', 'prevail', 'excel']",勝はその仕事を１時間で終えることはできないでしょう。,"Masaru can't finish the work in an hour, can he?"
182,面,3.0,9,186,2.0,"['メン', 'ベン']","['おも', 'おもて', 'つら']","['mask', 'face', 'features', 'surface']",海に面した部屋に替えて下さい。,I'd like a room facing the ocean instead.
183,委,3.0,8,187,2.0,['イ'],['ゆだ.ねる'],"['committee', 'entrust to', 'leave to', 'devote', 'discard']",委員会は彼を委員長に選んだ。,The committee elected him chairperson.
184,告,5.0,7,188,2.0,['コク'],['つ.げる'],"['revelation', 'tell', 'inform', 'announce']",そのうち３機はまだ帰還の報告はない。,Three of the planes have not yet reported home.
185,軍,4.0,9,189,2.0,['グン'],['いくさ'],"['army', 'force', 'troops', 'war', 'battle']",軍が政府を乗っ取った。,The army took over the government.
186,文,1.0,4,190,3.0,"['ブン', 'モン']","['ふみ', 'あや']","['sentence', 'literature', 'style', 'art', 'decoration', 'figures', 'plan', 'literary radical (no. 67)']",文の初めには大文字が用いられる。,A capital letter is used at the beginning of a sentence.
187,反,3.0,4,191,2.0,"['ハン', 'ホン', 'タン', 'ホ']","['そ.る', 'そ.らす', 'かえ.す', 'かえ.る', '-かえ.る']",['anti-'],予想に反して、この一年間で彼らの人気が上昇しました。,"Contrary to everyone's expectations, their popularity has increased over this year."
188,元,2.0,4,192,3.0,"['ゲン', 'ガン']",['もと'],"['beginning', 'former time', 'origin']",元どおりにしまってください。,Put it back where it was.
189,重,3.0,9,193,3.0,"['ジュウ', 'チョウ']","['え', 'おも.い', 'おも.り', 'おも.なう', 'かさ.ねる', 'かさ.なる', 'おも']","['heavy', 'important', 'esteem', 'respect', 'heap up', 'pile up', 'nest of boxes', '-fold']",この語には２重の意味がある。,This word has a double meaning.
190,近,2.0,7,194,3.0,"['キン', 'コン']",['ちか.い'],"['near', 'early', 'akin', 'tantamount']",近医で処方を希望したら露骨に嫌な顔をされた。,I was given a nasty look when I asked for my prescription at the local doctor's.
191,千,1.0,3,195,4.0,['セン'],['ち'],['thousand'],千に百を加えると千百になる。,"If you add one hundred to one thousand, you get eleven hundred."
192,考,2.0,6,196,3.0,['コウ'],"['かんが.える', 'かんが.え']","['consider', 'think over']",「万葉韻律考」,Thoughts About Meter in Man'yoshu
193,判,5.0,7,197,2.0,"['ハン', 'バン']",['わか.る'],"['judgement', 'judgment', 'signature', 'stamp', 'seal']",この駐車券に判を押して下さい。,Can you validate this parking ticket?
194,認,6.0,14,198,2.0,['ニン'],"['みと.める', 'したた.める']","['acknowledge', 'witness', 'discern', 'recognize', 'appreciate', 'believe']",彼の言うことは認めるが、彼に賛成することは出来ない。,"Admitting what he says, I still cannot agree with him."
195,画,2.0,8,199,3.0,"['ガ', 'カク', 'エ', 'カイ']","['えが.く', 'かく.する', 'かぎ.る', 'はかりごと', 'はか.る']","['brush-stroke', 'picture']",これは彼によってかかれた画です。,This is a picture painted by him.
